State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Georgia,Louisiana,847527.4,34477.1,720589.685378137,3051.9092557191684
Georgia,Maine,1978026.0,87248.1,1724383.5153227318,7303.271359013923
Georgia,Maryland,1077009.0,46196.8,914147.8969179455,3871.6852104760037
Georgia,Massachusetts,1727125.6,76634.3,1516998.8348389417,6424.936241670812
Georgia,Michigan,1181658.5,51256.1,1000728.0937687143,4238.37780890279
Georgia,Minnesota,1775122.5,74133.9,1439460.239847693,6096.537486413758
Georgia,Mississippi,614218.3,25019.2,542757.2187286868,2298.736455792085
Georgia,Missouri,1103450.6,46289.1,868814.4174842914,3679.684591698175
Georgia,Montana,3319893.2,132632.6,2712925.220725036,11490.036228953095
Georgia,Nebraska,1606959.6,67306.0,1335629.2636401486,5656.782763652393
Georgia,Nevada,3879625.4,152055.7,3207284.7805332756,13583.794364611518
Georgia,New Hampshire,1803084.3,80307.7,1539923.1882354482,6522.027620761898
Georgia,New Jersey,1303128.4,56818.5,1123335.8435480383,4757.6576903211035
Georgia,New Mexico,,,1978291.889643107,8378.648003194336
Georgia,New York,,,1365455.5508003223,5783.1058622131295
Georgia,North Carolina,651794.8,28144.1,572900.5818929485,2426.402464487782
Georgia,North Dakota,2473056.8,101099.2,1987722.6122515171,8418.589887182896
Georgia,Ohio,897867.4,38520.8,706493.7132479621,2992.208667873722
Georgia,Oklahoma,1364360.6,54411.0,1209781.2129397395,5123.779254803602
Georgia,Oregon,4259162.7,168358.7,3494140.265733365,14798.711713694252
Georgia,Pennsylvania,1143590.4,48895.2,987345.7598094351,4181.699688604666
Georgia,Rhode Island,1674370.1,74140.7,1449327.7407549066,6138.329254961956
Georgia,South Carolina,341755.4,14194.0,326219.3525615059,1381.634904966378
Georgia,South Dakota,2231632.4,90118.8,1794816.9914392184,7601.5778460955125
Georgia,Tennessee,399934.1,16964.6,343269.8604562373,1453.8488207558285
Georgia,Texas,1482659.0,60766.5,1301402.0817481314,5511.820581521498
Georgia,Utah,3023153.1,120123.0,2538904.473942784,10753.007183757674
Georgia,Vermont,1878055.9,82844.9,1549703.1444317887,6563.4486117111055
Georgia,Virginia,854081.6,36275.9,771111.761861329,3265.8851090597464
Georgia,Washington,4355458.2,171832.5,3522070.1485933857,14917.002982277869
Georgia,West Virginia,799410.1,34586.3,574544.0099532579,2433.362865684386
Georgia,Wisconsin,1366302.1,58018.5,1121648.9029352653,4750.513000667006
Georgia,Wyoming,2318078.2,94048.7,1963381.7108173508,8315.499010520545
Hawaii,Idaho,,,4560542.890194272,19315.240476116916
Hawaii,Illinois,,,6686176.571796307,28317.92430407848
Hawaii,Indiana,,,6975440.133284055,29543.040564497172
Hawaii,Iowa,,,6343645.00034119,26867.202354386216
Hawaii,Kansas,,,6179635.31087542,26172.57308135472
Hawaii,Kentucky,,,7114806.645718034,30133.29873480579
Hawaii,Louisiana,,,6663348.938691596,28221.242563870284
Hawaii,Maine,,,8227278.132939267,34844.942680683955
Hawaii,Maryland,,,7814764.78353267,33097.827318491305
Hawaii,Massachusetts,,,8186261.850822253,34671.22666230601
Hawaii,Michigan,,,7083646.800749611,30001.327626704235
Hawaii,Minnesota,,,6396599.512373068,27091.4802876977
